product_name,brand
"Orge, lentilles vertes, riz rouge au naturel",Céréal Bio
Levure de boulanger Briochin,Alsa
Noè-Quelle Naturell,"Aqua culinaris, Hansa-Heemann AG, Quellbrunn, Sixpack Aqua Aldi, Quellenbrunn"
Beurre Léger Doux 40% MG,Président
Salmon ahumado en lonchas,Ocean Sea
Al ambar thé vert en grains,Sultan
Huile d'olive vierge extra,Terra Delyssa
Parachnute 100% Pure Coconut Oil,Parachute
PET 50CL COCA COLA ZERO,Coca-Cola
Huile d'olive vierge extra Bouteille 1L,U
ST HUBERT OMEGA 470 g doux,"St Hubert, St hubert omega 3"
Filets maquereau naturel,"Marque Repère, Pêche Océan"
Eau de source de montagne d'Auvergne,U
Fine gaufre,"Karelea, Léa nature"
Sardines huile olive v.e. Label Rge 135g Cble,Connétable
Lo Salt,Lo Salt
Filets de MAQUEREAUX AU NATUREL,Carrefour
Olivenöl,Primadonna
Eritritol y sucralosa,Hacendado
Truvia | Sweetener from the Stevia Leaf - Calorie free,Truvia
Borderfields English Pressed Rapeseed Oil,Borderfields
"Sardine huile tournesol et citron PARMENTIER, boîte 1/6",Parmentier
Cancoillotte IGP fabriquée en Franche-Comté,"Carrefour, Reflets de France"
Pâte de cacahuète pindakaas,Calvé
Kräuter Philadelphia,Philadelphia
Margarine omega 3 50% bq 500g,"Bouton d'or, Sélection Intermarché"
Acqua minerale naturale,Uliveto
Olivenöl,Primadonna
Carbonated Natural Mineral Water,"Nestlé, San Pellegrino"
Huile d'olive vierge extra,Puget
Mild olive oil,"Lidl,Primadonna"
Campo verde - Fromage,Campo Verde
Biere bud,budweiser
Huile D'Olive Vierge Extra De Crète,Terra Creta Estate
So Soja! Natural,Sojade
Acqua minerale naturale,"Blues, Eurospin"
HERTA LE BON PARIS Jambon sel réduit sans nitrite x6-210g,"HERTA, Le Bon Paris"
Fruit Creations: Orange & Mango,robinsons
Super-Beet Kimchi,Vadasz
Milo,
CHOLULA HOT SAUCE,CHOLULA
Jben jaouda*2,jaouda
Drink Happy Vanille,Jaouda
Lben Pasteurisé,Central Danone
Coca-Cola sans sucres,Coca-Cola
Thon entier au naturel cuisson vapeur,Petit Navire
Huile d'olive,Puget
Huile d'olive vierge extra,"Carrefour BIO, Carrefour"
HUILE OLIVE VIERGE EXTRA BIO,Soléou
Coca Cola Zero Sugar,Coca Cola
"Aceite de girasol refinado 0,2º",Hacendado
,Saskia
Philadelphia original,Philadelphia
bruschette chips,maretti
Sabroz arroz integral,Brillante
"British Mature Cheddar, Strength 4",Valley Spire
Organic extra virgin coconut oil,"The groovyfood company, Ecover"
Sidi Ali,
Mayonesa,Chosen Foods
Tisane nuit tranquille,Elephant
Sepia Filletes Of Mackerel In Oil,SEPIA
Tuna chunks in spring water,Tesco
Albane,LE NATURE
Lousra,lousra
l'original,St Hubert
Huile vierge de coco,Jardin bio
490g 950g,Baresa
Parmigiano reggiano,"Marque Repère, Les Croisés, Tables du Monde"
Stevia,Hacendado
Sardines généreuses au piment,Connétable
,Hacendado
Zwarte olijven / Olives noires ontpit / dénoyautées,Baresa
Vegan Bloc Butter,M-Classic
HERTA LE BON PARIS Jambon conservation sans nitrite x2 - 70g,"HERTA, Le Bon Paris"
Extra Virgin Olive Oil,Primadonna
Sauce De Soja,harmony
Sunflower oil,Tesco
Vitamin C 1000 mg,
Thé vert menthe intense menthe verte & menthe poivrée,Lipton
Organic Raspberry Lemonade Kombucha,Remedy
tartiner Greek style kiri,Kiri
Huile d'Olive Vierge Extra Le Moulin Antonin,Le Moulin Antonin
le vrai leben,Albane
,
Thon listao au naturel pêché ligne 140g,U
Eau de source Sainte Cécile ou Cristal Roc,Rocheval
Schweppes zéro Indian Tonic,Schweppes
Levure chimique,vahiné
HUILE OLIVE VE BIO,Soléou
Huile d'olive vierge extra Bio Classico,Carapelli
Eau petillante,Saguaro
Morceaux de thon,"Carrefour,Simpl"
Bière Blonde sans alcool 1664,1664
Devin изворна,Devin
caffè in grani classico,JACOBS DOUWE EGBERTS NORGE AS
Parmigiano Reggiano AOP en copeaux,Milbona
Coca-Cola sans sucres sans caféine,Coca-Cola
Robinsons Apple & Blackcurrant,Robinsons
Wrigleys Extra Spearmint 84g,"Extra, Wrigley’s"
Mama Instant Rice Noodles,Mama
Greenwood verveine,
ProActiv Expert Tartine et Gourmet Sans Huile de Palme,"Fruit d'Or ProActiv, Pro activ, ProActiv, ProActiv Expert"
Olives vertes dénoyautées -25% sel,Tramier
Thon entier au naturel albacore,Petit Navire
Coca-Cola Zero,Coca-Cola
Thé vert,twinings
Aceite de oliva virgen extra,Hacendado
Stevia,Hacendado
Truite fumée - 120g,Odyssée
St hubert bio & vegetal demi sel 230g ss hdp,"St hubert bio, St hubert bio & vegetal, st Hubert"
Infusion Ayurveda,Twinings
Ciclamato y sacarina,Hacendado
Tranches saveur Cheddar,Violife
HERTA LE BON PARIS Jambon sel réduit sans nitrite x2 -70g,"HERTA, Le Bon Paris"
Finesse cereale,Chergui
Vegetable Stock Cubes,"Aldi, Bramwells"
Organic Sprouted Pumpkin Seeds Sea Salt,Go Raw
Soif,Jaouda
AQUA CARPATICA,
"PET1,5L SCHW.ZERO INDIAN TONIC","Orangina Schweppes, Schweppes"
Camembert,"Chêne d'Argent, Lidl"
EMMENTAL Râpé,"CARREFOUR CLASSIC', Carrefour"
OPTIMA Bio Olive,Tramier
Thé vert,Clipper
Aceite de oliva virgen extra gran selección,Hacendado
Voda,Essalsabil
Lalla Khedidja,Cevital
S.pellegrino,"Nestlé, San Pellegrino"
Organic Kombucha Raspberry Lemonade,Remedy
Tuna Chunks in Spring Water,John West
Collagen Peptides,Vital Proteins
Filets de maquereaux,
löslichen Kaffee,Maxwell House
Nuggets Extra Croustillant x10,Le gaulois
Sardines huil.olive extra v.St Gil.,Saveurs de nos Régions
Emmental,Étoile D'Or
Huile d'olive vierge extra,Carrefour
Harina Fina de Maíz,"Maizena,Unilever"
Ricola eucalyptus,Ricola
Sel fin,ChanteSel
SAINT ELOI riz complet cuisson 10 mn étui 500gr,Saint Eloi
Violife 100% vegan original flavour slices,Violife
Filets de maquereaux Huile d'Olive Vierge Extra,Petit Navire
Pepsi max,Pepsi
Iodized sea salt,Castello
tonno rio mare oliva,Rio Mare
Essenza - Saveur Citron & Zeste De Citron,"Nestlé, San Pellegrino"
HERTA LE BON PARIS Jambon au Torchon sans nitrite x4 - 140g,"Le Bon Paris, Herta"
"Olej rzepakowy z pierwszego tłoczenia, filtrowany",Kujawski
water,Compagnie des Pyrénées
Chewing gum pure fresh,Mentos
Tablette de chocolat 100% cacao variétés native Pérou,Ethiquable
Butter Beans in Water,Napolina
Organic kombucha,"Remedy, Remedy Drinks, Remedy Kombucha"
Génoise chocolat orange Gerblé sans sucres,Gerblé
Parmigiano Reggiano AOP 200g,Casa azzurra
Red Bull Sans Sucre,Red Bull
Huile d'olive vierge extra,Carapelli
Smart Water,smartwater
Tuna Chunks in Spring Water,TESCO
Agua mineral,Mondariz
Il casolare,Farchioni
,Hacendado
Mild and light rapeseed oil cooking spray,Fry light
"British Extra Mature Cheddar, Strength 5",Valley Spire
flash,
Sauce bechamel gout fromage,
Cerelac,Nestle
Manyana,Alimani
Chakour Tea,
Croissance,
Bahia,
Moelleux tout chocolat Sans Sucres,Gerblé
Huile de tournesol,"Marque Repère, Rustica"
Huile d'olives vierge extra bio,Soléou
"Essentiel Citron, Pamplemouse et Romarin",Volvic
Parmigiano reggiano aop rape 12 mois lc 60g,"Intermarché, Itinéraire des Saveurs, Sélection Intermarché"
Arroz SOS,SOS
Jamón de Trevélez,Antonio Álvarez
Wrigley's Extra Peppermint,Wrigley's
Sardine Fillets,Season
san nicasio crisps imp,San Nicasio
,VEMONDO
Khayrat 200g,الخيرات
Fusilli,Cardella
Éléphant,éléphant
confiture,
Crispy Seaweed Thins Sea Salt,Itsu
Thon entier Albacore au naturel,"Lidl, Nixe"
Filets de Maquereaux Nature,Petit Navire
Sardines à l'huile d'olive et herbes de Provence,Parmentier
Sardines de Bretagne,"Carrefour, Reflets de France"
Monster Energy Ultra,Monster Energy
HERTA LE BON PARIS Jambon sel réduit x6 -210g,"HERTA, Le Bon Paris"
50G RICOLA MENTHOL,Ricola
Rapeseed Oil,Mazola
Red Kidney Beans,Aldi
Pure fresh mentos,Mentos
Pescada,Pescada
Olivenöl,Lidl
Filets de maquereaux nature,Petit Navire
Olives vertes Dénoyautées,Carrefour
"Fromage pasteurisé Emmental français râpé 29%MG, 200g",U
Huile de colza,"Marque Repère,Rustica"
Orange Menthe,Ricola
Twinning Thé Vert Menthe,Twinings
Sardines In Extra Virgin Olive Oil,Connétable
,Freshona
Marchand de sable,Clipper
Thon entier nature,Saupiquet
Natürliches Mineralwasser still,ja!
Magarine,Vita D'or
Moulin 5 Baies,Ducros
Crinkle Cut Beetroot in Sweetened Vinegar,Freshona
Кисело мляко по гръцка рецепта,Pilos
HERTA Lardons Fumés 200g,Herta
Agua mineral grande,Bronchales
HERTA LE BON PARIS Jambon Fumé sans nitrite x4 - 140g,"HERTA, Le Bon Paris"
Caldo de pollo,Lidl
Wild Pacific Red Salmon,John West
British Sparkling Spring Water Raspberries,Dash
Sel rose,AM/63
Riz long jaune,Efsane
Skyr végétal nature,Sojasun
Yaourt a boir,Jibal
Novalac Lait,NOVALAC
Beef stick,Chomps
Haché Végétal et Gourmand,HappyVore
Kombucha Fraise et Pêche,Nexba
Lben Pasteurisé,"Albane, Best Milk"
Huile Isio 4 Olive,Lesieur
Shirataki de Konjac,Gayelord Hauser
Cuisson Pratique,planta fin
Rocchetta Naturale,Rocchetta
Tunfisch Filets in Sonnenblüme,"Lidl, Nixe"
L'Olive vierge extra,Cauvin
Eau minérale,
Gorgonzola dop piccante,"Lovilio, Milbona"
12 free range British eggs,"Sainsbury's,by sainsbury's"
Organic Extra Virgin Olive Oil,Tesco
Multi-Grain Crackers 6-Seed,Crunchmaster
Pur cacao non sucré,Ethiquable
Soya alternative to greek style yogurt,Tesco
Organic Sea Salt Tortilla Chips,Late July
Penne rigate,Cardella
Le nature,jaouda
Olivenöl,Deluxe
British Mature Cheddar,Aldi
Emietté de Thon le mariné Citron & Thym,Petit navire
HUILE D'OLIVE  SQUEEZE,Puget
Foie de morue fumé au bois de hêtre,Connétable
Huile d'olive vierge extra,Terra Delyssa
Tranches de chèvre,Soignon
manteiga Magra,Matinal
,ORBIT
100% pure coconut oil,Ktc
Chicles hierbabuena,Hacendado
Champignons coupés,Mido
Premium Original Galletas de Soda,Nabisco
Organic Tortilla Chips,Kirkland Signature
Mario thon entier,Mario
Infusion framboise groseille,Elephant
Cola Zero,Coca-Cola
Kombucha Fleur de sureau & Citron,Nexba
,
Sardines Label Rouge huile d'olive,Le Trésor des Dieux
Sardines à l'huile d'olive vierge extra,Carrefour
Huile vierge de colza bio,"Bio Village, Marque Repère"
Himalaias rock salt,Deluxe (LIDL)
Eau de source non gazeux,Ovitale
Soyasun 100% vegetale,Soyasun
,Żywiec Zdrój
FRUIT & BARLEY SUMMER FRUITS,"ROBINSONS, Robertsons"
Tacos,"fritosa,"
Kombucha,Remedy
Eau de source de Montagne (Source Roche des Écrins),"Rocheval, Aldi"
l'eau,amanpl
Delicia tomate,Delicia
eau minérale naturelle,"Eau de Beckerich, Rocheval, Source Ophélie"
Gésiers de volaille confits,Le Gaulois
La tomme de brebis,Lou Pérac
Olives vertes dénoyautées,Tramier
Huile vierge de colza biologique,Cauvin
mortadella Bologna with pistachios,Dulano
Vinaigre de cidre bouteille en verre de 50cl,BIO U
Le vinaigre de Cidre,Bouton d'or
Il classico Huile d'olive vierge extra,Costa d'Oro
Filets de maquereaux,Carrefour
Grana Padano,Milbona
Instant Kaffee,"Nestlé,Nescafé Gold,Nescafé"
Postre Soja Natural,Hacendado
Mineralwasser still,Saskia
Sel de Guérande,Nos regions ont du talent
Galette senior,Bimo
Salmon Fillets,Tesco
Tuna Chunks,John West
LIGHTLY SALTED RICE CAKES,QUAKER
Kombucha,Remedy
Carb Balance Flour Tortilla Wraps,Mission
Mortadella luncheon,Toro
Extra Virgin Olive Oil,Filippo Berio
Noodles,"Bare naked foods, BareNaked Foods"
Petit Beurre Nature sans sucres,"Karéléa, Léa Nature"
Fleur de sel de Guérande,Le guerandais
Huile de Colza,Carrefour
Zero Sugar,Coca-Cola
Olivenöl,Monini
Parma Ham slices,"Goldoni Annibale Prosciutti S.R.L,Parma"
Véritable cassoulet de Castelnaudary,"Lidl, saveurs de nos régions"
Niegazowany,Żywiec Zdrój
Qualita Oro,Lavazza
Acqua minerale,Lete
Coca-Cola Zero,Coca Cola
50G RICOLA CASSIS,Ricola
Parmigiano Reggiano,Tesco
Like Chicken,Like Meat
HERTA Bacon CSN 10T,Herta
Shredded Wheat'n Bran,"Post Consumer Brands, Post"
Lesieur 475g mayonnaise,Lesieur
Leader Chips,
Water,
Kaugummi WRIGLEY'S Extra Fresh Strong Mint (blau) 70g Dose,"Wrigleys, Mars GmbH"
Huile d'olive extra vierge zero résidu de pesticides,Terra Delyssa
Amlou à base d’Arachide,
Solesta Olive Oil,Aldi
Baking Powder,Alsa
Comté 15 mois,Jura flore
Olives vertes dénoyautées,"Marque Repère,Rustica"
Filet de harengs doux,Delpierre
Badoit Zest Citron,Badoit
Cornichons Extra-fins aux 5 épices et aromates,"Carrefour, Groupe Carrefour"
Chocolat noir à la pointe de sel,J.D. Gross
Sardinillas en aceite de oliva,Hacendado
Thon entier Nature,Saupiquet
St hubert omega 3 600 g doux format special,"St Hubert, St hubert omega 3"
CAUVIN - Huile vierge de sésame grillé BIO,Cauvin
Eau de source de montagne Laqueuille,Marque Repère
Bonbons aux plantes,Ricola
Huile de pépins de raisin,Lesieur
Goldfish,Pepperidge Farm
Extra Virgin Olive Oil,Filippo Berio
Infusion bio détox,Elephant
Gouda Holland jeune,milbona
Bebida De Avena,yosoy
Grana padano,Aldi
Konjac Noodles,Vitasia
tartine vital 450g daira,
Spaghetti,Tria
Baked Green Pea Snacks Lightly Salted,"Calbee, Harvest Snaps"
Latte avena senza zucchero,Oatly
Boisson pétillante saveur citron,Perrier
yaourt à boire sans lactose,Jaouda
,
Sugarly,Canderel
Thé vert saveur citron 25 sachets de 2 g,twinings
Aqua Carpatica,Carpatica
Huile vierge de colza,"Carrefour BIO, Carrefour"
Eau minérale naturelle,Plancoët
Bonbons Ricola aux Plantes,Ricola
Maquereaux fumé poivre,Delpierre
Riz basmati bio 500g,Saint Eloi
Naturalis -  Still,Naturalis
Chicles Menta,Hacendado
Monster Energy Ultra,Monster
HERTA LE BON PARIS Jambon à l'étouffée sans nitrite x8 -280g,"HERTA, Le Bon Paris"
HERTA LE BON PARIS Jambon torchon sel réduit ss nitrite x4,"HERTA, Le Bon Paris"
Gorgonzola DOP mild,"Igor, Lidl, Milbona"
Brown Basmati Rice,Tilda
Quixo gravy granules,Aldi
Mentos pure fresh,Mentos
Thé vert menthe,Lipton
Tesco Italian GRTD Parmesan Cheese 100 G,Tesco
,Mentos
Parma ham,Tesco
Trident peppermint flavor,Trident
Mejora,
Honey,castimel
risso,vandemoortele
Speculoos sans sucres,"KARÉLÉA, Léa Nature"
Émietté de thon Le Mariné basilic,Petit Navire
Huile d'olive vierge extra bouteille de 75cl,"U,U Bio"
Emmental,Carrefour
Sel -33 % sodium,Cérébos
Chocolat Villars Noir 70% Sans sucre ajouté 100g,Villars
Huile de noix,"Marque Repère, Rustica"
Sardines sans arêtes au citron et à l'huile d'olive vierge extra,Connétable
Huile d'olive Bouteille 50cL,U
Huile de colza Bouteille 1L,U
Emmental râpé,simpl
Mélange 4 huiles,Carrefour Classic
Emmental râpé fondant,Carrefour
Huile d'olive vierge extra,Carapelli
Albacore Tuna | In Brine,Connétable
atum em posta em óleo vegetal,Bom Petisco
Huile elio,cevital
LAVAZZA CREMA E GUSTO,Lavazza
Cevital Smen 500g,Medina
Citron Mélisse,Ricola
Grana Padano,Carrefour
Miel d’Eucalyptus,
Sprouted Rolled Oats,One Degree Organic Foods
Cornichons au vinaigre,Pikarome
Pack ftoury jben 190g×2,
Surimi,GASTRONOMIA DI MARE
Gerblé sans sucres génoise chocolat saveur framboise,Gerblé
Fruit d'Or,Fruit d'Or
Le thon blanc au naturel germon,Petit Navire Donini Collezione
50G RICOLA ALPIN FRESH,Ricola
Huile de colza,Bouton d'or
Sardines à l'Ancienne Label rouge,Connétable
Boisson soja Nature,Sojade
Mineralwasser,"Altmühltaler Quelle, Altmühltaler Quelle (Aldi Süd), Aqua Culinaris, Quellbrunn, Milbona"
Infusion des marmottes,Les 2 Marmottes
Café soluble,Summa
Moulin Poivre Noir,Ducros
Manteiga Magra com sal,Président
Süßstofftabletten,"Aldi, Süssli"
Original Flavour - Grated,Violife
Bio Soja ohne Zucker,Berief
Pepsi max500ml,Pepsi
Freshmint,Frezzh
Oleo Extra Virgem De Coco,origens
Cornflour,Tesco
Fromage Fondu  Président 8 portions,"President,Lactalis"
Original Popcorn,SkinnyPop
Sardine a l'huile végétale,
Sauerkraut,Dawtona
Tesco Finest 12 Pork Chipolatas,Tesco
Patatas fritas,Leader Chips
Mentos Pure Fresh,Mentos
Rapeseed oil,Tesco Finest
Lemon & Ginger tea,Twinings
Thé vert en filaments,Sultan CHAARA
Vinaigre à la pomme,Star
Red Hot Wings Buffalo Sauce,Frank’s
Lindahls Pro+,Lindahls PRO+
Liquide,canderel
Forever citron vert,Perrier
"Nooco nougat, cacahuètes",Nooco
Steack Haché 15%,Charal
Camembert de campagne,Président
Eau de source Les Chesnaux,"Intermarché, Premier prix"
Grana Padano,"Marque Repère, Les Croisés"
Thon entier à l'huile de tournesol,Petit navire
Cœur Complice,Carrefour
"NESCAFÉ Sélection, Café Soluble, Flacon de 100g","Nescafé,Selection"
"Spécialité biologique fermentée au soja, nature",Sojade
Allioli,Chovi
Rapsöl,Rapso
Salmón al natural,Hacendado
Huile de tournesol,VITAD'OR
Riz Basmati,Saint eloi
Brie,"Chêne d'argent, Lidl"
Italian Extra Virgin Olive Oil,Primadonna
Naturell Mierbachquelle stilles Wasser,"Quellbrunn, naturell aldi"
olive verdi bella di cerignola in salomoia,Italiamo
Acqua naturale,San Benedetto
Gnocchis aux pommes de terre,Toque du Chef Lidl
HERTA LE BON PARIS Jambon sel réduit x2 -70g,"HERTA,Le Bon Paris"
HERTA LE BON PARIS Jambon fumé x4 - 140g,"HERTA, Le Bon Paris"
Parmigiano Reggiano,Lidl
Olivenöl,"Primadonna, Primadonna Bio"
Smooth Medium Roast,Costa Coffee
Ifri pétillante,ifri
Grana Padano 16 Mesi,"Lidl,Milbona,Saviola"
Organic Raw Cane Sugar,Florida Crystals
British Lean Beef Steak Mince 5% Fat,Tesco
Mayo,Primal Kitchen
Spaghetti,Tria
Nuez de Brasil Natural,Hacendado
Mantequilla,
Olivenöl,DmBio
PURE IRISH BUTTER,Kerrygold
Thé vert de Chine LAHCEN KANTAOUI,
Thé vert en grain najma,Sultan
twinings tea,"Twinings, Sainsburys"
